timestamp,imagen,duracion_s,ram_used_MB,Volt,Curr,power
2025-07-10 00:22:57,000336.jpg,0.587,3623280,5096,984,5014
2025-07-10 00:22:58,000337.jpg,0.543,3626496,5096,1016,5177
2025-07-10 00:23:00,000338.jpg,1.545,3637484,5096,992,5055
2025-07-10 00:23:03,000339.jpg,0.571,3635972,5104,960,4899
2025-07-10 00:23:05,000340.jpg,0.928,3645196,5104,920,4654
2025-07-10 00:23:08,000341.jpg,0.181,3651568,5096,976,4973
2025-07-10 00:23:12,000342.jpg,0.167,3612304,5096,976,4973
2025-07-10 00:23:14,000343.jpg,1.031,3640116,5096,992,5055
2025-07-10 00:23:16,000344.jpg,0.901,3635572,5104,944,4818
2025-07-10 00:23:19,000345.jpg,0.992,3658292,5096,992,5055
2025-07-10 00:23:22,000346.jpg,0.365,3644492,5096,992,5055
2025-07-10 00:23:25,000347.jpg,1.004,3642952,5112,896,4621
2025-07-10 00:23:29,000348.jpg,0.198,3632864,5128,800,4102
2025-07-10 00:23:32,000349.jpg,0.416,3616628,5104,912,4654
2025-07-10 00:23:35,000350.jpg,0.166,3638936,5096,984,5014
2025-07-10 00:23:37,000351.jpg,1.236,3632880,5120,816,4177
2025-07-10 00:23:41,000352.jpg,0.172,3662212,5096,992,5055
2025-07-10 00:23:43,000353.jpg,0.938,3618628,5096,976,4973
2025-07-10 00:23:46,000354.jpg,1.629,3645088,5096,1016,5177
2025-07-10 00:23:49,000355.jpg,0.177,3658032,5120,800,4136
2025-07-10 00:23:53,000356.jpg,0.159,3644408,5096,1000,5096
2025-07-10 00:23:55,000357.jpg,0.585,3651732,5096,976,4973
2025-07-10 00:23:58,000358.jpg,0.135,3680836,5096,984,5014
2025-07-10 00:24:01,000359.jpg,1.611,3653360,5096,976,4940
2025-07-10 00:24:04,000360.jpg,0.17,3627012,5112,864,4416
2025-07-10 00:24:08,000361.jpg,0.973,3626864,5096,976,4973
2025-07-10 00:24:10,000362.jpg,1.811,3648864,5104,960,4899
2025-07-10 00:24:13,000363.jpg,0.132,3630080,5096,1000,5096
2025-07-10 00:24:16,000364.jpg,1.634,3645984,5096,984,5014
2025-07-10 00:24:19,000365.jpg,0.14,3639992,5112,888,4539
2025-07-10 00:24:23,000366.jpg,0.798,3651068,5096,1016,5177
2025-07-10 00:24:26,000367.jpg,0.504,3651752,5104,952,4899
2025-07-10 00:24:28,000368.jpg,0.655,3676220,5096,1008,5136
2025-07-10 00:24:31,000369.jpg,2.965,3652068,5128,792,4061
2025-07-10 00:24:36,000370.jpg,1.068,3656956,5104,936,4777
2025-07-10 00:24:39,000371.jpg,1.069,3653216,5096,960,4899
2025-07-10 00:24:42,000372.jpg,0.236,3678220,5088,1024,5210
2025-07-10 00:24:45,000373.jpg,1.152,3655048,5096,976,4973
2025-07-10 00:24:48,000374.jpg,1.167,3651504,5112,888,4539
2025-07-10 00:24:52,000375.jpg,0.344,3684052,5104,952,4818
2025-07-10 00:24:54,000376.jpg,0.938,3647980,5096,1000,5096
2025-07-10 00:24:56,000377.jpg,1.638,3654544,5088,1016,5169
2025-07-10 00:24:59,000378.jpg,1.232,3671864,5104,928,4695
2025-07-10 00:25:04,000379.jpg,0.859,3631140,5096,1000,5055
